condition,left-right_button_press,right-left_button_press,listening-reading,reading-listening,motor-cognitive,cognitive-motor,reading-checkerboard,horizontal-vertical,vertical-horizontal,computation-sentences,sentences-computation
audio_left_button_press,1,-1,1,-1,1,-1,,,,,
audio_right_button_press,-1,1,1,-1,1,-1,,,,,
video_left_button_press,1,-1,-1,1,1,-1,,,,,
video_right_button_press,-1,1,-1,1,1,-1,,,,,
horizontal_checkerboard,,,,,,,-1,1,-1,,
vertical_checkerboard,,,,,,,,-1,1,,
audio_sentence,,,,,-1,1,,,,-1,1
video_sentence,,,,,-1,1,1,,,-1,1
audio_computation,,,,,-1,1,,,,1,-1
video_computation,,,,,-1,1,,,,1,-1
