task	condition	description
ArchiStandard	audio_left_button_press	Left-hand three-times button press, indicated by auditory instruction
ArchiStandard	audio_right_button_press	Right-hand three-times button press, indicated by auditory instruction
ArchiStandard	video_left_button_press	Left-hand three-times button press, indicated by visual instruction
ArchiStandard	video_right_button_press	Right-hand three-times button press, indicated by visual instruction
ArchiStandard	horizontal_checkerboard	Visualization of flashing horizontal checkerboards
ArchiStandard	vertical_checkerboard	Visualization of flashing vertical checkerboards
ArchiStandard	audio_sentence	Listen to narrative sentences
ArchiStandard	video_sentence	Read narrative sentences
ArchiStandard	audio_computation	Mental subtraction, indicated by auditory instruction
ArchiStandard	video_computation	Mental subtraction, indicated by visual instruction
ArchiSpatial	saccades	Ocular movements were performed according to the displacement of a fixation cross from the center towards peripheral points in the image displayed
ArchiSpatial	rotation_hand	Mental judgment on whether the hand displayed on the image is a left or a right hand
ArchiSpatial	rotation_side	Mental judgment on the palmar-dorsal direction of a hand displayed as visual stimulus
ArchiSpatial	object_grasp	Mimicry of object grasping with right hand, in which the corresponding object was displayed on the screen
ArchiSpatial	object_orientation	Mimic orientation of rhombus, displayed as image background on the screen , using right hand along with fingers
ArchiSocial	mechanistic_audio	Interpret short stories (presented as auditory stimuli) through mental reply (no active response was involved), featuring a cause-consequence plot
ArchiSocial	mechanistic_video	Interpret short stories (presented as visual stimuli) through mental reply (no active response was involved), featuring a cause-consequence plot
ArchiSocial	triangle_mental	Watch short movies of triangles, which exhibit a putative interaction
ArchiSocial	triangle_random	Watch short movies of triangles, which exhibit a random movement
ArchiSocial	false_belief_audio	Interpret short stories (presented as auditory stimuli) through mental reply (no active response was involved), featuring a false-belief plot
ArchiSocial	false_belief_video	Interpret short stories (presented as visual stimuli) through mental reply (no active response was involved), featuring a false-belief plot
ArchiSocial	speech_sound	Listen passively to short samples of human voices
ArchiSocial	non_speech_sound	Listen passively to short samples of natural sounds
ArchiEmotional	face_gender	Gender evaluation of the presented human faces
ArchiEmotional	face_control	Mental assessment on the slope of a gray-scale grid image (obtained from scrambling a face's image) that may be tilted or not
ArchiEmotional	face_trusty	Trustworthy evaluation of the presented human faces
ArchiEmotional	expression_intention	Trustworthy evaluation of the presented human eye images
ArchiEmotional	expression_gender	Gender evaluation of the presented human eye images
ArchiEmotional	expression_control	Mental assessment on the slope of a gray-scale grid image (obtained from scrambling an eyes' image) that may be tilted or not
HcpEmotion	shape	Images with shapes were displayed
HcpEmotion	face	Images with faces were displayed
HcpGambling	punishment	The participant experiences loss
HcpGambling	reward	The participant experiences reward
HcpMotor	left_hand	Visual cue indicating the left hand should be moved
HcpMotor	right_hand	Visual cue indicating the right hand should be moved
HcpMotor	left_foot	Visual cue indicating the left foot should be moved
HcpMotor	right_foot	Visual cue indicating the right foot should be moved
HcpMotor	tongue	Visual cue indicating the tongue hand should be moved
HcpMotor	cue	Fixation dot
HcpLanguage	story	Listening to tales
HcpLanguage	math	Auditorily-cued mental addition
HcpRelational	relational	Relational processing of visual objects
HcpRelational	match	Simple visual matching
HcpSocial	mental	Watching a movie with mental motion
HcpSocial	random	Watching a movie with random motion
HcpWm	0back_body	0-back, pictures of body parts were displayed
HcpWm	2back_body	2-back, pictures of body parts were displayed
HcpWm	0back_face	0-back, pictures of faces were displayed
HcpWm	2back_face	2-back, pictures of faces were displayed
HcpWm	0back_tools	0-back, pictures of tools were displayed
HcpWm	2back_tools	2-back, pictures of tools were displayed
HcpWm	0back_place	0-back, pictures of places were displayed
HcpWm	2back_place	2-back, pictures of places were displayed
RSVPLanguage	complex	Constituents, i.e. words formed syntactically and semantically congruent sentences with more than one clause grid image that may be tilted or not (high sentence-structure complexity)
RSVPLanguage	simple	Constituents, i.e. words formed syntactically and semantically congruent sentences of one single clause (low_sentence-structure_complexity)
RSVPLanguage	read_jabberwocky	Syntactically congruent sentences composed by non-lexical vocable constituents
