Sub,Run ,Acquisition_onset,Stimuli_onset,Lag
sub-01,raiders01,80175,81818,1643
sub-01,raiders02,941175,942526,1351
sub-01,raiders03,1606973,1608293,1320
sub-01,raiders04,2328372,2329722,1350
sub-01,raiders05,3157134,3158394,1260
sub-01,raiders06,3912634,3913984,1350
sub-01,raiders07,74166,75859,1693
sub-01,raiders08,838891,840218,1327
sub-01,raiders09,1607371,1608677,1306
sub-01,raiders10,2235395,2236672,1277
sub-01,raiders01_test,2718088,2719336,1248
sub-01,raiders02_test,3542387,3543749,1362
sub-01,raiders03_test,4194044,4195411,1367
sub-04,raiders01,76123,77765,1642
sub-04,raiders02,899319,900672,1353
sub-04,raiders03,1560218,1561539,1321
sub-04,raiders04,2262260,2263599,1339
sub-04,raiders05,3088817,3090119,1302
sub-04,raiders06,3855134,3856504,1370
sub-04,raiders07,86252,87928,1676
sub-04,raiders08,849549,850894,1345
sub-04,raiders09,1618849,1620155,1306
sub-04,raiders10,2241661,2242935,1274
sub-04,raiders01_test,2733397,2734660,1263
sub-04,raiders02_test,3542958,3544320,1362
sub-04,raiders03_test,4204260,4205616,1356
sub-05,raiders01,77046,78696,1650
sub-05,raiders02,97643,99390,1747
sub-05,raiders03,758084,759403,1319
sub-05,raiders04,1476452,1477828,1376
sub-05,raiders05,2383577,2384859,1282
sub-05,raiders06,3145328,3146701,1373
sub-05,raiders07,85323,87003,1680
sub-05,raiders08,855141,856489,1348
sub-05,raiders09,1630656,1631987,1331
sub-05,raiders10,2263258,2264560,1302
sub-05,raiders01_test,2764187,2765454,1267
sub-05,raiders02_test,3604577,3605936,1359
sub-05,raiders03_test,4273425,4274779,1354
sub-06,raiders01,82853,84476,1623
sub-06,raiders02,894043,895358,1315
sub-06,raiders03,1550775,1552100,1325
sub-06,raiders04,2242677,2243987,1310
sub-06,raiders05,3068996,3070259,1263
sub-06,raiders06,3823715,3825034,1319
sub-06,raiders07,74640,76312,1672
sub-06,raiders08,870477,871787,1310
sub-06,raiders09,1649676,1651032,1356
sub-06,raiders10,2279895,2281179,1284
sub-06,raiders01_test,2766052,2767318,1266
sub-06,raiders02_test,3580950,3582335,1385
sub-06,raiders03_test,4245161,4246548,1387
sub-07,raiders01,95737,97747,2010
sub-07,raiders02,74557,76625,2068
sub-07,raiders03,739314,740621,1307
sub-07,raiders04,1437481,1439160,1679
sub-07,raiders05,2258921,2260596,1675
sub-07,raiders06,3020564,3022266,1702
sub-07,raiders07,88240,89899,1659
sub-07,raiders08,853039,854399,1360
