HCP task,HCP name,IBC task,IBC name
EMOTION,FACES-SHAPES,hcp_emotion,face-shape
LANGUAGE,STORY-MATH,hcp_language,story-math
RELATIONAL,REL-MATCH,hcp_relational,relational-match
GAMBLING,PUNISH-REWARD,hcp_gambling,punishment-reward
SOCIAL,TOM-RANDOM,hcp_social,mental-random
WM,0BK-2BK,hcp_wm,2back-0back
WM,PLACE-AVG,hcp_wm,place-avg
WM,TOOL-AVG,hcp_wm,tools-avg
WM,FACE-AVG,hcp_wm,face-avg
WM,BODY-AVG,hcp_wm,body-avg
MOTOR,LF-AVG,hcp_motor,left_foot-avg
MOTOR,RF-AVG,hcp_motor,right_foot-avg
MOTOR,LH-AVG,hcp_motor,left_hand-avg
MOTOR,RH-AVG,hcp_motor,right_hand-avg
MOTOR,T-AVG,hcp_motor,tongue-avg
