	condition	task
0	audio_left_button_press	archi_standard
1	audio_right_button_press	archi_standard
2	video_left_button_press	archi_standard
3	video_right_button_press	archi_standard
4	horizontal_checkerboard	archi_standard
5	vertical_checkerboard	archi_standard
6	audio_sentence	archi_standard
7	video_sentence	archi_standard
8	audio_computation	archi_standard
9	video_computation	archi_standard
10	saccades	archi_spatial
11	rotation_hand	archi_spatial
12	rotation_side	archi_spatial
13	object_grasp	archi_spatial
14	object_orientation	archi_spatial
15	mechanistic_audio	archi_social
16	mechanistic_video	archi_social
17	triangle_mental	archi_social
18	triangle_random	archi_social
19	false_belief_audio	archi_social
20	false_belief_video	archi_social
21	speech_sound	archi_social
22	non_speech_sound	archi_social
23	face_gender	archi_emotional
24	face_control	archi_emotional
25	face_trusty	archi_emotional
26	expression_intention	archi_emotional
27	expression_gender	archi_emotional
28	expression_control	archi_emotional
29	story	hcp_language
30	math	hcp_language
31	mental	hcp_social
32	random	hcp_social
33	punishment	hcp_gambling
34	reward	hcp_gambling
35	left_hand	hcp_motor
36	right_hand	hcp_motor
37	left_foot	hcp_motor
38	right_foot	hcp_motor
39	tongue	hcp_motor
40	shape	hcp_emotion
41	face	hcp_emotion
42	relational	hcp_relational
43	match	hcp_relational
44	0back_body	hcp_wm
45	2back_body	hcp_wm
46	0back_face	hcp_wm
47	2back_face	hcp_wm
48	0back_tools	hcp_wm
49	2back_tools	hcp_wm
50	0back_place	hcp_wm
51	2back_place	hcp_wm
52	complex	language_
53	simple	language_
54	jabberwocky	language_
55	word_list	language_
56	pseudoword_list	language_
57	consonant_string	language_
58	probe	language_
