cos,sin
1,0
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
6.12323399573677E-17,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,1.22464679914735E-16
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-1.83697019872103E-16,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-2.44929359829471E-16
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
3.06161699786838E-16,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,3.67394039744206E-16
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-4.28626379701574E-16,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-4.89858719658941E-16
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
5.51091059616309E-16,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,6.12323399573677E-16
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-2.44991257893129E-15,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-7.34788079488412E-16
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
-9.80336419954471E-16,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,8.57252759403147E-16
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-2.69484193876077E-15,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-9.79717439317883E-16
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
-7.35407060125E-16,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,1.10218211923262E-15
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-2.93977129859024E-15,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-1.22464679914735E-15
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
-4.9047770029553E-16,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,4.89982515786259E-15
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-3.18470065841971E-15,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-1.46957615897682E-15
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
-2.45548340466059E-16,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,-1.96067283990894E-15
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-3.42963001824918E-15,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-1.71450551880629E-15
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
-6.18980636588358E-19,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,5.38968387752153E-15
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-3.67455937807865E-15,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-1.95943487863577E-15
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
2.44310379192882E-16,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,-1.47081412025E-15
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-3.91948873790812E-15,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-2.20436423846524E-15
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
4.89239739022353E-16,1
-0.3826834324,0.9238795325
-0.7071067812,0.7071067812
-0.9238795325,0.3826834324
-1,5.87954259718047E-15
-0.9238795325,-0.3826834324
-0.7071067812,-0.7071067812
-0.3826834324,-0.9238795325
-4.16441809773759E-15,-1
0.3826834324,-0.9238795325
0.7071067812,-0.7071067812
0.9238795325,-0.3826834324
1,-2.44929359829471E-15
0.9238795325,0.3826834324
0.7071067812,0.7071067812
0.3826834324,0.9238795325
7.83959645645282E-15,1
